date,isStair,value
2018-11-17 18:33:14,1,9
2018-11-17 18:33:15,1,9
2018-11-17 18:33:16,1,9
2018-11-17 18:33:17,1,9
2018-11-17 18:33:18,1,9
2018-11-17 18:33:19,1,9
2018-11-17 18:33:20,1,9
2018-11-17 18:33:21,1,9
2018-11-17 18:33:22,1,9
2018-11-17 18:33:23,1,9
2018-11-17 18:33:24,1,9
2018-11-17 18:33:25,1,9
2018-11-17 18:33:26,1,9
2018-11-17 18:33:27,1,9
2018-11-17 18:33:28,1,9
2018-11-17 18:33:29,1,9
2018-11-17 18:33:30,1,9
2018-11-17 18:33:31,1,9
2018-11-17 18:33:32,1,9
2018-11-17 18:33:33,1,9
2018-11-17 18:33:34,1,9
2018-11-17 18:33:35,1,9
2018-11-17 18:33:36,1,9
2018-11-17 18:33:37,1,9
2018-11-17 18:33:38,1,9
2018-11-17 18:33:39,1,9
2018-11-17 18:33:40,1,9
2018-11-17 18:33:41,1,9
2018-11-17 18:33:42,1,9
2018-11-17 18:33:43,1,9
2018-11-17 18:33:44,1,9
2018-11-17 18:33:45,1,9
2018-11-17 18:33:46,1,9
2018-11-17 18:33:47,1,9
2018-11-17 18:33:48,1,9
2018-11-17 18:33:49,1,9
2018-11-17 18:33:50,1,9
2018-11-17 18:33:51,1,9
2018-11-17 18:33:52,1,9
2018-11-17 18:33:53,1,9
2018-11-17 18:33:54,1,9
2018-11-17 18:33:55,1,9
2018-11-17 18:33:56,1,9
2018-11-17 18:33:57,1,9
2018-11-17 18:33:58,1,9
2018-11-17 18:33:59,1,9
2018-11-17 18:34:00,1,9
2018-11-17 18:34:01,1,9
2018-11-17 18:34:02,1,9
2018-11-17 18:34:03,1,9
2018-11-17 18:34:04,1,9
2018-11-17 18:34:05,1,9
2018-11-17 18:34:06,1,9
2018-11-17 18:34:07,1,9
2018-11-17 18:34:08,1,9
2018-11-17 18:34:09,1,9
2018-11-17 18:34:10,1,9
2018-11-17 18:34:11,1,9
2018-11-17 18:34:12,1,9
2018-11-17 18:34:13,1,9
2018-11-17 18:34:14,1,9
2018-11-17 18:34:15,1,9
2018-11-17 18:34:16,1,9
2018-11-17 18:34:17,1,9
2018-11-17 18:34:18,1,9
2018-11-17 18:34:19,1,9
2018-11-17 18:34:20,1,9
2018-11-17 18:34:21,1,9
2018-11-17 18:34:22,1,9
2018-11-17 18:34:23,1,9
2018-11-17 18:34:24,1,9
2018-11-17 18:34:25,1,9
2018-11-17 18:34:26,1,9
2018-11-17 18:34:27,1,9
2018-11-17 18:34:28,1,9
2018-11-17 18:34:29,1,9
2018-11-17 18:34:30,1,9
2018-11-17 18:34:31,1,9
2018-11-17 18:34:32,1,9
2018-11-17 18:34:33,1,9
2018-11-17 18:34:34,1,9
2018-11-17 18:34:35,1,9
2018-11-17 18:34:36,1,9
2018-11-17 18:34:37,1,9
2018-11-17 18:34:38,1,9
2018-11-17 18:34:39,1,9
2018-11-17 18:34:40,1,9
2018-11-17 18:34:41,1,9
2018-11-17 18:34:42,1,9
2018-11-17 18:34:43,1,9
2018-11-17 18:34:44,1,9
2018-11-17 18:34:45,1,9
2018-11-17 18:34:46,1,9
2018-11-17 18:34:47,1,9
2018-11-17 18:34:48,1,9
2018-11-17 18:34:49,1,9
2018-11-17 18:34:50,1,9
2018-11-17 18:34:51,1,9
2018-11-17 18:34:52,1,9
2018-11-17 18:34:53,1,9
2018-11-17 18:34:54,1,9
2018-11-17 18:34:55,1,9
2018-11-17 18:34:56,1,9
2018-11-17 18:34:57,1,9
2018-11-17 18:34:58,1,9
2018-11-17 18:34:59,1,9
2018-11-17 18:35:00,1,9
2018-11-17 18:35:01,1,9
2018-11-17 18:35:02,1,9
2018-11-17 18:35:03,1,9
2018-11-17 18:35:04,1,9
2018-11-17 18:35:05,1,9
2018-11-17 18:35:06,1,9
2018-11-17 18:35:07,1,9
2018-11-17 18:35:08,1,9
2018-11-17 18:35:09,1,9
2018-11-17 18:35:10,1,9
2018-11-17 18:35:11,1,9
2018-11-17 18:35:12,1,9
2018-11-17 18:35:13,1,9
2018-11-17 18:35:14,1,9
2018-11-17 18:35:15,1,9
2018-11-17 18:35:16,1,9
2018-11-17 18:35:17,1,9
2018-11-17 18:35:18,1,9
2018-11-17 18:35:19,1,9
2018-11-17 18:35:20,1,9
2018-11-17 18:35:21,1,9
2018-11-17 18:35:22,1,9
2018-11-17 18:35:23,1,9
2018-11-17 18:35:24,1,9
2018-11-17 18:35:25,1,9
2018-11-17 18:35:26,1,9
2018-11-17 18:35:27,1,9
2018-11-17 18:35:28,1,9
2018-11-17 18:35:29,1,9
2018-11-17 18:35:30,1,9
2018-11-17 18:35:31,1,9
2018-11-17 18:35:32,1,9
2018-11-17 18:35:33,1,9
2018-11-17 18:35:34,1,9
2018-11-17 18:35:35,1,9
2018-11-17 18:35:36,1,9
2018-11-17 18:35:37,1,9
2018-11-17 18:35:38,1,9
2018-11-17 18:35:39,1,9
2018-11-17 18:35:40,1,9
2018-11-17 18:35:41,1,9
2018-11-17 18:35:42,1,9
2018-11-17 18:35:43,1,9
