date,time,altitude,latitude,longitude
2018-11-14,28899,34.41612012862822,36.01623140069538,129.3230026915126
2018-11-14,28900,34.431963117599146,36.01622896899502,129.32301875100947
2018-11-14,28901,34.42566815929409,36.01623605168116,129.3230356667328
2018-11-14,28902,34.44798635633469,36.016235816294966,129.32303934745187
2018-11-14,28903,34.44945599952507,36.01623633232859,129.3230474692839
2018-11-14,28904,34.45127494565563,36.016236780971184,129.32305795322588
2018-11-14,28905,34.44939690374525,36.016240785140965,129.32307216715435
2018-11-14,28906,34.440571099065934,36.01623616843749,129.3230837565449
2018-11-14,28907,34.40872080619566,36.01623446731788,129.3230925639039
2018-11-14,28908,34.38790958672308,36.0162317950031,129.3231030141204
2018-11-14,28909,34.36361548259809,36.016230328885634,129.32310538447484
2018-11-14,28910,34.35394882853325,36.01623126229572,129.32310828813974
2018-11-14,28911,34.35139601200372,36.01623214809207,129.32311676357574
2018-11-14,28912,34.34150022742107,36.016233294776654,129.32311968038618
2018-11-14,28913,34.33925065445598,36.01623324854036,129.32312277097046
2018-11-14,28914,34.33450756971806,36.01623066072768,129.3231237030395
2018-11-14,28915,34.32637716383216,36.01623397462663,129.32312760703434
2018-11-14,28916,34.32807381257462,36.01623432710523,129.3231372217244
2018-11-14,28917,34.31526931057875,36.0162353396046,129.32314814896344
2018-11-14,28918,34.30047224355788,36.01623406768796,129.3231572227646
2018-11-14,28919,34.283230589223955,36.016231660819216,129.32316518233196
2018-11-14,28920,34.26537025435697,36.016227945747026,129.32317433591953
2018-11-14,28921,34.24382599638296,36.01622809216185,129.323174651801
2018-11-14,28922,34.24151020889122,36.01622726059829,129.3231749531722
2018-11-14,28923,34.239331990127404,36.01622470324107,129.32317643277253
2018-11-14,28924,34.23242967423246,36.016223941211905,129.32317890095135
2018-11-14,28925,34.22709771901016,36.01622138790925,129.32317977018113
2018-11-14,28926,34.22084476640785,36.01622093743448,129.32318061571945
2018-11-14,28927,34.21833119600114,36.01622101486863,129.32318330622127
2018-11-14,28928,34.21476677438527,36.01622229779739,129.32318315639728
2018-11-14,28929,34.21685135700396,36.01622167805469,129.3231849986398
2018-11-14,28930,29.77732241796369,36.01622105831199,129.3231868408823
2018-11-14,28931,26.219009916460678,36.01622043856929,129.32318868312478
2018-11-14,28932,23.36700843504164,36.01621981882659,129.32319052536727
2018-11-14,28933,21.081126065733095,36.01621919908389,129.32319236760972
2018-11-14,28947,21.081125259399414,36.01621919908388,129.3231923676097
2018-11-14,28947,21.081125259399414,36.01621919908388,129.3231923676097
