,index,Unnamed: 0,time,relativeAltitude,pressure
195,195,195,27401186,0.465049744,1017.6860351560001
196,196,196,27401187,0.465049744,1017.6860351560001
197,197,197,27401188,0.354072571,1017.699462891
198,198,198,27401189,0.269515991,1017.7092895510001
199,199,199,27401190,0.221954346,1017.715454102
200,200,200,27401191,0.14268493699999998,1017.72454834
201,201,201,27401192,0.079269409,1017.732543945
202,202,202,27401193,0.079269409,1017.732543945
203,203,203,27401194,0.084552765,1017.731872559
204,204,204,27401195,0.084552765,1017.731872559
205,205,205,27401196,0.079269409,1017.732666016
206,206,206,27401197,0.079269409,1017.732666016
207,207,207,27401198,0.079269409,1017.732177734
208,208,208,27401199,0.084552765,1017.7319335939999
209,209,209,27401200,0.084552765,1017.7319335939999
