,time,altitude,latitude,longitude
93,27417712,34.34150022742107,36.01623329477665,129.32311968038618
94,27417713,34.33925065445598,36.01623324854036,129.32312277097046
95,27417714,34.33450756971806,36.01623066072768,129.3231237030395
96,27417715,34.326377163832156,36.01623397462663,129.32312760703434
97,27417716,34.32807381257462,36.016234327105224,129.3231372217244
98,27417717,34.31526931057875,36.0162353396046,129.32314814896344
99,27417718,34.30047224355788,36.01623406768796,129.3231572227646
100,27417719,34.283230589223955,36.01623166081922,129.32316518233196
101,27417720,34.265370254356974,36.01622794574702,129.3231743359195
102,27417721,34.24382599638296,36.01622809216185,129.323174651801
103,27417722,34.24151020889122,36.016227260598285,129.3231749531722
104,27417723,34.239331990127404,36.01622470324107,129.32317643277253
105,27417724,34.232429674232456,36.016223941211905,129.32317890095138
