,index,Unnamed: 0_x,date,altitude,latitude,longitude,Unnamed: 0_y,relativeAltitude,pressure
41,11,11.0,2018-11-15 13:45:44,46.54337081909181,36.01198909079075,129.32215923377808,40.0,31.475315094000006,1018.165771484
42,12,12.0,2018-11-15 13:45:45,53.60228096008301,36.01199147655768,129.32214418051723,41.0,31.189945221,1018.2000732425
43,13,13.0,2018-11-15 13:45:46,46.549605560302744,36.0120261725934,129.3221570339801,42.0,30.751319885,1018.253234863
44,14,14.0,2018-11-15 13:45:47,53.73017417907714,36.01202125136792,129.32214133764822,43.0,30.439525604,1018.291015625
45,15,15.0,2018-11-15 13:45:48,46.676875305175784,36.01202370045239,129.32212859197392,44.0,30.122447968000003,1018.329162598
46,16,16.0,2018-11-15 13:45:49,46.76101684570313,36.012020529765856,129.32213201918245,45.0,29.879356384,1018.3582763669999
47,17,17.0,2018-11-15 13:45:50,46.73964157104494,36.012008522144974,129.32212400276984,46.0,29.747238159000002,1018.3741455080001
48,18,18.0,2018-11-15 13:45:51,46.72671203613281,36.01200044763695,129.32210869731566,47.0,29.673252106,1018.3831176760001
49,19,19.0,2018-11-15 13:45:52,46.750140380859385,36.01199668304947,129.32211257054644,48.0,29.673252106,1018.3831176760001
50,20,20.0,2018-11-15 13:45:53,46.72539367675783,36.01191766207326,129.32202359911025,49.0,29.66796875,1018.383728027
51,21,21.0,2018-11-15 13:45:54,46.84440307617186,36.011809612025964,129.3218967060977,50.0,29.66796875,1018.383728027
52,22,22.0,2018-11-15 13:45:55,47.25553894042969,36.011776977085425,129.32183144311458,51.0,29.588699340999998,1018.393249512
53,23,23.0,2018-11-15 13:45:56,54.59088363647462,36.01169574831857,129.32157801542394,52.0,29.409023285,1018.415222168
54,24,24.0,2018-11-15 13:45:57,56.145522537231436,36.011689613554246,129.3215696236532,53.0,29.155357361,1018.445922852
55,25,25.0,2018-11-15 13:45:58,56.328177589416505,36.0116579654719,129.3216024070684,54.0,28.790718079,1018.489868164
56,26,26.0,2018-11-15 13:45:59,56.212032236480724,36.0116029114353,129.32167733115259,55.0,28.389087677,1018.538269043
57,27,27.0,2018-11-15 13:46:00,55.77929114479065,36.01159317679235,129.32167955612886,56.0,27.8791179655,1018.5996398925
58,28,28.0,2018-11-15 13:46:01,55.697262763160715,36.011602157225845,129.32167281250386,57.0,27.543544769,1018.6397705080001
59,29,29.0,2018-11-15 13:46:02,55.74000902167741,36.01160441816909,129.32167858217372,58.0,27.448421478,1018.6512451169999
60,30,30.0,2018-11-15 13:46:03,55.7329127979197,36.011601151369234,129.32167530738243,59.0,27.353298186999996,1018.6632080080001
61,31,31.0,2018-11-15 13:46:04,55.73223064136424,36.01160956096818,129.32167773302342,60.0,27.237033844000006,1018.677124023
62,32,32.0,2018-11-15 13:46:05,55.751553294849316,36.01161498068551,129.32168821681248,61.0,27.03093338,1018.701538086
63,33,33.0,2018-11-15 13:46:06,55.73707473256111,36.011627057486464,129.32171374772008,62.0,26.72442627,1018.7387695310001
64,34,34.0,2018-11-15 13:46:07,55.692038619496344,36.011630974054434,129.3217473221657,63.0,26.370353699000002,1018.781433105
65,35,35.0,2018-11-15 13:46:08,55.59143896937151,36.01164374265155,129.32178049767452,64.0,26.07970047,1018.8168945310001
66,36,36.0,2018-11-15 13:46:09,100.76139311753587,36.01165240966309,129.32180806981145,65.0,25.82075119,1018.847717285
67,37,37.0,2018-11-15 13:46:10,100.71334747905293,36.0116601429394,129.32183881643294,66.0,25.651641846,1018.8679199219999
68,38,38.0,2018-11-15 13:46:11,101.29221620887327,36.011671788375274,129.32187211833306,67.0,25.588226318,1018.876037598
69,39,39.0,2018-11-15 13:46:12,55.29268576705435,36.01165484377259,129.3218826394913,68.0,25.588226318,1018.876037598
70,40,40.0,2018-11-15 13:46:13,55.190417410933954,36.01165877734915,129.3219033444703,69.0,25.593513489,1018.875183105
71,41,41.0,2018-11-15 13:46:14,55.12584944983361,36.011662290909484,129.32192428228032,70.0,25.593513489,1018.875183105
72,42,42.0,2018-11-15 13:46:15,55.06293666007126,36.01167789263629,129.32194556735408,71.0,25.593513489,1018.875335693
73,43,43.0,2018-11-15 13:46:16,55.00185793602665,36.011706471436256,129.32196065613994,72.0,25.567089081,1018.878662109
74,44,44.0,2018-11-15 13:46:17,54.946867769921035,36.01171807976088,129.32197774925308,73.0,25.540664673000002,1018.881896973
